ano,Região,estado,municipio,populacao,area,densidade
2024-01-01,Sudeste,Minas Gerais,Três Marias,29927,2678.254,11.174070868558397
2024-01-01,Nordeste,Maranhão,Bom Jesus das Selvas,29588,2676.93,11.052959920505954
2024-01-01,Norte,Tocantins,Miracema do Tocantins,18787,2663.745,7.052852281280678
2024-01-01,Nordeste,Ceará,Granja,55633,2663.176,20.889719643012704
2024-01-01,Nordeste,Bahia,Coribe,14464,2662.819,5.431837462478674
2024-01-01,Norte,Rondônia,Alto Paraíso,17463,2651.991,6.584863975782723
2024-01-01,Nordeste,Bahia,Caetité,54572,2651.536,20.58127817234991
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Corguinho,4893,2639.656,1.8536506272029385
2024-01-01,Norte,Tocantins,Palmeirante,4909,2638.465,1.8605514949032864
2024-01-01,Sul,Santa Catarina,Lages,171609,2637.66,65.06107686358364
2024-01-01,Sudeste,Minas Gerais,Jaíba,39379,2635.467,14.941943875601552
2024-01-01,Norte,Tocantins,Araguatins,33205,2633.278,12.60975863543462
